PPU;Fecha;a14;a15;a16;a17;a18;𝑰𝑪𝑨𝑻𝒆𝒓𝒎𝒊𝒏𝒂𝒍;Terminal ;Tipo bus;Marca
SKHG74;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
LXDJ27;19-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SJPC56;22-07-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
LDJW29;22-07-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
SJPC44;22-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXF28;22-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXF27;22-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXD76;22-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHCY18;22-07-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SHXG87;30-07-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;VOLVO
SJPC37;30-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SHXG34;30-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SJPC41;30-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
LXDH97;30-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;SCANIA
SHXD83;30-07-2024;1;1;1;1;0; 4,00 ;CONDELL;A2;VOLVO
LDJW47;30-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;MERCEDES BENZ
