;;;;SEM 44;;;SEM 45;;;;;;;SEM 46;;;;;;;SEM 47;;;;;;;SEM 48;;;;;;;SEM 49;;;;;;;SEM 50;;;;;;;SEM 51;;;;;;;SEM 52;;;;;;;;
Nov.;INTERNO;INTERNO;TERMINAL;01-nov;02-nov;03-nov;04-nov;05-nov;06-nov;07-nov;08-nov;09-nov;10-nov;11-nov;12-nov;13-nov;14-nov;15-nov;16-nov;17-nov;18-nov;19-nov;20-nov;21-nov;22-nov;23-nov;24-nov;25-nov;26-nov;27-nov;28-nov;29-nov;30-nov;1-Dec;2-Dec;3-Dec;4-Dec;5-Dec;6-Dec;7-Dec;8-Dec;9-Dec;10-Dec;11-Dec;12-Dec;13-Dec;14-Dec;15-Dec;16-Dec;17-Dec;18-Dec;19-Dec;20-Dec;21-Dec;22-Dec;23-Dec;24-Dec;25-Dec;26-Dec;27-Dec;28-Dec;29-Dec;30-Dec;31-Dec
0;7140;SRVG77;JUANITA;;;;;;BARRIDO/MOPA;;;;BARRIDO;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7141;SRVG81;JUANITA;;;;;;;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7142;SRVG83;JUANITA;FULL;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7143;SRVG86;JUANITA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7144;SRVG88;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7145;SRVG91;JUANITA;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7146;SRVG92;JUANITA;;;;;;;BARRIDO/MOPA;;;BARRIDO;;;;;BARRIDO/MOPA;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7147;SRVG94;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7148;SRVG98;JUANITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7149;SRVH10;JUANITA;;;;;;;;;;;;;;;BARRIDO/MOPA;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7150;SRVH11;JUANITA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7151;SRVH13;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7152;SRVH19;JUANITA;;;;;;BARRIDO/MOPA;;;;;;;;;BARRIDO/MOPA;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7153;SRVH22;JUANITA;;;;FULL;FULL;BARRIDO/MOPA;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7154;SRVH45;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7155;SRVH71;JUANITA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7156;SRVH73;JUANITA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7157;SRVJ34;JUANITA;;;;;FULL;;;FULL;;BARRIDO;;;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7158;SRVJ39;JUANITA;;;;;;;;;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7159;SRVJ43;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7160;SRVJ55;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7161;SRVJ64;JUANITA;;;;;BARRIDO/MOPA;;FULL;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7162;SRVJ78;JUANITA;;;;;;;;;;;;;;;FULL;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7163;SRVJ82;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7164;SRVJ90;JUANITA;;;;;;;;;;;;;;;FULL;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7165;SRVK11;JUANITA;;;;;;;;;;BARRIDO;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7166;SRVK42;JUANITA;;;;;;;BARRIDO/MOPA;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7167;SRVK61;JUANITA;;;;;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7168;SRVK90;JUANITA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7169;SRVK97;JUANITA;;;;;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7170;SRVL11;JUANITA;FULL;;;;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7171;SRVL15;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7172;SRVL21;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7173;SRVL24;JUANITA;;;;;;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7174;SRVL25;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7175;SRVL35;JUANITA;;;;FULL;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7176;SRVL40;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7177;SRVL45;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7178;SRVL72;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7179;SRVL75;JUANITA;;;;;;;;;;;;;;;BARRIDO/MOPA;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7180;SRVL78;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7181;STHC57;JUANITA;;;;FULL;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7182;STHC95;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7183;STHD12;JUANITA;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7184;STHD50;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7185;STHD26;JUANITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7186;STHF36;JUANITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7187;STHF56;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7188;STHF57;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;7189;STHF67;JUANITA;;;;;BARRIDO/MOPA;;;;;BARRIDO;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7190;STHF69;JUANITA;;;;;BARRIDO/MOPA;;;;;;;;;;;BARRIDO/MOPA;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2046;LXDH88;SANTA MARGARITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2065;LXDJ17;SANTA MARGARITA;;;;;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2066;LXDJ18;SANTA MARGARITA;;;;BARRIDO;BARRIDO;BARRIDO;;;;;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2074;LXDJ26;SANTA MARGARITA;;;;;;BARRIDO;;BARRIDO;;;;;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2075;LXDJ27;SANTA MARGARITA;;;;;;;;;;;;EXTERNO/EXPRESS;BARRIDO;BARRIDO;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2076;LXDJ28;SANTA MARGARITA;;;;;;BARRIDO;;BARRIDO;;;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2077;LXDJ29;SANTA MARGARITA;;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2078;LXDJ30;SANTA MARGARITA;;;;;BARRIDO;BARRIDO;FULL;BARRIDO;;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2079;LXDJ31;SANTA MARGARITA;;;;;;;FULL;BARRIDO;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4025;SHCY18;SANTA MARGARITA;;;;;;;;;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4026;SHXC20;SANTA MARGARITA;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO;;BARRIDO;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4027;SHCY17;SANTA MARGARITA;;;;BARRIDO;;;;BARRIDO;;;;BARRIDO;BARRIDO;BARRIDO;;;;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4028;SHXD76;SANTA MARGARITA;;;;;BARRIDO;;;BARRIDO;;;;BARRIDO;FULL;BARRIDO;;;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4029;SHXD78;SANTA MARGARITA;;;;;;;;;;;;BARRIDO;;;;BARRIDO;;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4030;SHXF24;SANTA MARGARITA;;;;BARRIDO;;;;;;;;;;FULL;BARRIDO;BARRIDO;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4032;SHXF26;SANTA MARGARITA;;;;BARRIDO;;BARRIDO;;;;;;FULL;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4033;SHXF27;SANTA MARGARITA;;;;BARRIDO;;BARRIDO;;;;;;FULL;;BARRIDO;BARRIDO;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4034;SHXF28;SANTA MARGARITA;;;;;;;;;;BARRIDO/MOPA;;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4037;SHXG30;SANTA MARGARITA;;;;BARRIDO;BARRIDO;;;;;;;;BARRIDO;BARRIDO;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4039;SHXG32;SANTA MARGARITA;;;;BARRIDO;;;;BARRIDO;;;;;BARRIDO;BARRIDO;FULL;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4045;SJPC38;SANTA MARGARITA;;;;;;;;;;;;;BARRIDO;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4047;SJPC44;SANTA MARGARITA;;;;BARRIDO;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4053;SJPC56;SANTA MARGARITA;;;;;BARRIDO;BARRIDO;;;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;;BARRIDO/MOPA;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4054;SJPC66;SANTA MARGARITA;;;;;;;;BARRIDO;;BARRIDO/MOPA;;;BARRIDO;;;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4055;SJPC67;SANTA MARGARITA;;;;;;;;;;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4060;SJPD92;SANTA MARGARITA;;;;;;;;BARRIDO;;;BARRIDO/MOPA;BARRIDO;;BARRIDO;;;;FULL;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4062;SJPD94;SANTA MARGARITA;;;;;;BARRIDO;;BARRIDO;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4065;SJPD99;SANTA MARGARITA;;;;;BARRIDO;BARRIDO;;;;;;;;BARRIDO;BARRIDO;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1002;SHCY11;EL RETIRO;;;;;BARRIDO;;BARRIDO;BARRIDO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO;;BARRIDO;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1003;SHCY32;EL RETIRO;;;;;;;FULL;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO;;;;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1004;SHCY33;EL RETIRO;;;;;;;FULL;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO;BARRIDO;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1005;SHCY34;EL RETIRO;;;;BARRIDO;BARRIDO;;;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO/MOPA;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1008;SHCY39;EL RETIRO;;;;;;;;;;BARRIDO/MOPA;;BARRIDO;;BARRIDO/MOPA;;;BARRIDO;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1009;SHCY40;EL RETIRO;;;;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO;;BARRIDO;BARRIDO;BARRIDO;;;FULL;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1010;SHCY46;EL RETIRO;;;;;BARRIDO;FULL;BARRIDO;BARRIDO;;;;;BARRIDO;;;BARRIDO;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1011;SHCY47;EL RETIRO;;;;;;BARRIDO;;;;BARRIDO/MOPA;;BARRIDO;;BARRIDO/MOPA;;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1012;SHCY49;EL RETIRO;;;;;BARRIDO;;;;;;;;;BARRIDO;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1013;SHCY50;EL RETIRO;;;;;BARRIDO;;FULL;BARRIDO;;;;;BARRIDO/MOPA;BARRIDO;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1015;SHCY55;EL RETIRO;;;;;;;;FULL;;;;BARRIDO;BARRIDO;BARRIDO/MOPA;;BARRIDO;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2055;LXDH97;EL RETIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2064;LXDJ16;EL RETIRO;;;;BARRIDO;;;;;;BARRIDO;BARRIDO/MOPA;;FULL;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2070;LXDJ22;EL RETIRO;;;;BARRIDO;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2071;LXDJ23;EL RETIRO;;;;;;FULL;BARRIDO;BARRIDO;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO;BARRIDO;BARRIDO;BARRIDO;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2091;LDJV50;EL RETIRO;;;;BARRIDO;BARRIDO;BARRIDO;;;;;;BARRIDO;FULL;BARRIDO;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2095;LDJW30;EL RETIRO;;;;;;;;;;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;;;FULL;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2096;LDJW31;EL RETIRO;;;;;BARRIDO;;;;;;;BARRIDO;BARRIDO;BARRIDO;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2097;LDJW34;EL RETIRO;;;;;BARRIDO;;;BARRIDO;;;;;;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO;;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2098;LDJW35;EL RETIRO;;;;;BARRIDO;BARRIDO;;;;;;BARRIDO;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;;;FULL;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2099;LDJW36;EL RETIRO;;;;;BARRIDO;BARRIDO;;;;;BARRIDO/MOPA;;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2100;LDJW37;EL RETIRO;;;;;BARRIDO;BARRIDO;;BARRIDO;;BARRIDO/MOPA;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2101;LDJW38;EL RETIRO;;;;BARRIDO;;BARRIDO;;BARRIDO;;;;;;BARRIDO;BARRIDO;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2102;LDJW39;EL RETIRO;;;;BARRIDO;;BARRIDO;;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2103;LDJW40;EL RETIRO;;;;;;BARRIDO;;BARRIDO;;;;BARRIDO;;BARRIDO/MOPA;BARRIDO;BARRIDO;;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2104;LDJW41;EL RETIRO;;;;;;BARRIDO;;BARRIDO;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2105;LDJW42;EL RETIRO;;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2106;LDJW43;EL RETIRO;;;;;;BARRIDO;;;;;BARRIDO/MOPA;;;BARRIDO;;;BARRIDO;;BARRIDO;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2107;LDJW44;EL RETIRO;;;;;BARRIDO;;;BARRIDO;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;;;BARRIDO;BARRIDO;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2108;LDJW45;EL RETIRO;;;;;;;;;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;FULL;;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2109;LDJW46;EL RETIRO;;;;;BARRIDO;BARRIDO;;BARRIDO;;;;BARRIDO;BARRIDO;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO;BARRIDO;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2110;LDJW47;EL RETIRO;;;;BARRIDO;BARRIDO;;;BARRIDO;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2112;LDJW49;EL RETIRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2113;LJDL48;EL RETIRO;;;;BARRIDO;;FULL;;;;;;BARRIDO/MOPA;;BARRIDO;BARRIDO;BARRIDO;;BARRIDO;FULL;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4035;SHXF30;EL RETIRO;;;;BARRIDO;BARRIDO;;;BARRIDO;;BARRIDO/MOPA;;;BARRIDO;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4036;SHXG17;EL RETIRO;;;;BARRIDO;;BARRIDO;;BARRIDO;;;;BARRIDO/MOPA;BARRIDO;BARRIDO;;;BARRIDO/MOPA;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4038;SHXG31;EL RETIRO;;;;BARRIDO;;BARRIDO;;BARRIDO;;;BARRIDO/MOPA;BARRIDO;;BARRIDO;BARRIDO;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4040;SHXG34;EL RETIRO;;;;;;;;;;;;BARRIDO;;BARRIDO;BARRIDO;;;;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4043;SJPC36;EL RETIRO;;;;;;;;BARRIDO;;;;;BARRIDO;BARRIDO;;;BARRIDO;;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4044;SJPC37;EL RETIRO;;;;BARRIDO;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO;;BARRIDO/MOPA;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4046;SJPC41;EL RETIRO;;;;BARRIDO;;;;BARRIDO;;;;;BARRIDO;BARRIDO;FULL;;BARRIDO;BARRIDO;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
